norad_id,name,object_type,satellite_constellation,altitude_km,altitude_category,orbital_band,congestion_risk,inclination,eccentricity,launch_year_estimate,days_in_orbit_estimate,orbit_lifetime_category,mean_motion,epoch,data_source,snapshot_date,country,last_seen
67030,STARLINK-36138,PAYLOAD,Starlink Gen 1,483.0045612884569,Very Low LEO,LEO-Equatorial,HIGH,43.0029,0.0001682,2024,0,<1yr,15.27594873,2026-05-27 12:24:58.849056,celestrak,2026-05-27,US,2026-05-27
67031,STARLINK-36150,PAYLOAD,Starlink Gen 1,482.9957191018475,Very Low LEO,LEO-Equatorial,HIGH,43.0011,0.0001253,2024,0,<1yr,15.27597826,2026-05-26 21:18:21.428064,celestrak,2026-05-27,US,2026-05-27
67032,STARLINK-36131,PAYLOAD,Starlink Gen 1,482.98758060240743,Very Low LEO,LEO-Equatorial,HIGH,42.9992,7.24e-05,2024,0,<1yr,15.27600544,2026-05-27 11:42:24.806304,celestrak,2026-05-27,US,2026-05-27
67033,STARLINK-36137,PAYLOAD,Starlink Gen 1,482.99395545882453,Very Low LEO,LEO-Equatorial,HIGH,43.0007,0.0001387,2024,0,<1yr,15.27598415,2026-05-27 11:36:52.272576,celestrak,2026-05-27,US,2026-05-27
67034,STARLINK-36140,PAYLOAD,Starlink Gen 1,482.9577216787102,Very Low LEO,LEO-Equatorial,HIGH,43.0016,0.0001412,2024,0,<1yr,15.27610516,2026-05-27 11:13:01.790112,celestrak,2026-05-27,US,2026-05-27
67035,STARLINK-36085,PAYLOAD,Starlink Gen 1,483.0064926198329,Very Low LEO,LEO-Equatorial,HIGH,43.0089,0.0004912,2024,0,<1yr,15.27594228,2026-05-27 11:16:44.137056,celestrak,2026-05-27,US,2026-05-27
67036,STARLINK-36125,PAYLOAD,Starlink Gen 1,483.063337251564,Very Low LEO,LEO-Equatorial,HIGH,43.002,0.000297,2024,0,<1yr,15.27575244,2026-05-27 12:08:21.590016,celestrak,2026-05-27,US,2026-05-27
67037,STARLINK-35732,PAYLOAD,Starlink Gen 1,483.088561984895,Very Low LEO,LEO-Equatorial,HIGH,43.0016,0.0001218,2024,0,<1yr,15.2756682,2026-05-27 11:05:39.798816,celestrak,2026-05-27,US,2026-05-27
67038,STARLINK-35775,PAYLOAD,Starlink Gen 1,483.00994506519964,Very Low LEO,LEO-Equatorial,HIGH,42.9997,6.82e-05,2024,0,<1yr,15.27593075,2026-05-27 11:49:49.711008,celestrak,2026-05-27,US,2026-05-27
67039,STARLINK-35705,PAYLOAD,Starlink Gen 1,483.00061478918633,Very Low LEO,LEO-Equatorial,HIGH,42.9983,8.84e-05,2024,0,<1yr,15.27596191,2026-05-27 11:57:13.391424,celestrak,2026-05-27,US,2026-05-27
67040,STARLINK-35786,PAYLOAD,Starlink Gen 1,482.973199052577,Very Low LEO,LEO-Equatorial,HIGH,43.0018,0.0001594,2024,0,<1yr,15.27605347,2026-05-27 11:01:55.248672,celestrak,2026-05-27,US,2026-05-27
67041,STARLINK-35765,PAYLOAD,Starlink Gen 1,482.98410123657504,Very Low LEO,LEO-Equatorial,HIGH,42.9967,3.73e-05,2024,0,<1yr,15.27601706,2026-05-27 10:45:16.304832,celestrak,2026-05-27,US,2026-05-27
67042,STARLINK-35773,PAYLOAD,Starlink Gen 1,482.97462133449153,Very Low LEO,LEO-Equatorial,HIGH,43.0034,0.0003175,2024,0,<1yr,15.27604872,2026-05-27 12:15:43.570944,celestrak,2026-05-27,US,2026-05-27
67043,STARLINK-35901,PAYLOAD,Starlink Gen 1,482.98793093466793,Very Low LEO,LEO-Equatorial,HIGH,42.9985,0.00012259,2024,1,<1yr,15.27600427,2026-05-26 12:54:28.962144,celestrak,2026-05-27,US,2026-05-27
67044,STARLINK-35884,PAYLOAD,Starlink Gen 1,482.9958508511181,Very Low LEO,LEO-Equatorial,HIGH,42.9988,9.98e-05,2024,0,<1yr,15.27597782,2026-05-27 11:31:19.406208,celestrak,2026-05-27,US,2026-05-27
67045,STARLINK-35891,PAYLOAD,Starlink Gen 1,483.0237159637818,Very Low LEO,LEO-Equatorial,HIGH,43.0001,0.000126,2024,0,<1yr,15.27588476,2026-05-27 11:11:10.806720,celestrak,2026-05-27,US,2026-05-27
67046,STARLINK-35721,PAYLOAD,Starlink Gen 1,482.97870553339635,Very Low LEO,LEO-Equatorial,HIGH,43.0041,0.0002494,2024,0,<1yr,15.27603508,2026-05-26 20:52:39.568224,celestrak,2026-05-27,US,2026-05-27
67047,STARLINK-35779,PAYLOAD,Starlink Gen 1,483.04640411155924,Very Low LEO,LEO-Equatorial,HIGH,42.9997,0.0002177,2024,0,<1yr,15.27580899,2026-05-27 12:04:37.489152,celestrak,2026-05-27,US,2026-05-27
67048,STARLINK-35905,PAYLOAD,Starlink Gen 1,482.99126059052014,Very Low LEO,LEO-Equatorial,HIGH,43.0026,0.00016396,2024,0,<1yr,15.27599315,2026-05-26 20:39:42.542784,celestrak,2026-05-27,US,2026-05-27
67049,STARLINK-35877,PAYLOAD,Starlink Gen 1,482.96116507993247,Very Low LEO,LEO-Equatorial,HIGH,42.9993,0.0001743,2024,0,<1yr,15.27609366,2026-05-27 11:07:28.115040,celestrak,2026-05-27,US,2026-05-27
67050,STARLINK-36078,PAYLOAD,Starlink Gen 1,482.9729475333261,Very Low LEO,LEO-Equatorial,HIGH,43.0006,0.0001088,2024,0,<1yr,15.27605431,2026-05-27 11:47:58.748352,celestrak,2026-05-27,US,2026-05-27
67051,STARLINK-35706,PAYLOAD,Starlink Gen 1,482.9992913058768,Very Low LEO,LEO-Equatorial,HIGH,43.002,0.0003239,2024,0,<1yr,15.27596633,2026-05-27 12:13:52.412160,celestrak,2026-05-27,US,2026-05-27
67052,STARLINK-35720,PAYLOAD,Starlink Gen 1,482.9886884909047,Very Low LEO,LEO-Equatorial,HIGH,43.0075,0.0001886,2024,0,<1yr,15.27600174,2026-05-27 12:02:46.388256,celestrak,2026-05-27,US,2026-05-27
67053,STARLINK-35739,PAYLOAD,Starlink Gen 1,482.98038532664486,Very Low LEO,LEO-Equatorial,HIGH,43.0034,0.0003612,2024,0,<1yr,15.27602947,2026-05-27 10:54:31.237344,celestrak,2026-05-27,US,2026-05-27
67054,STARLINK-35754,PAYLOAD,Starlink Gen 1,482.9769299241816,Very Low LEO,LEO-Equatorial,HIGH,42.9975,1.35e-05,2024,0,<1yr,15.27604101,2026-05-27 10:32:19.162752,celestrak,2026-05-27,US,2026-05-27
67055,STARLINK-35790,PAYLOAD,Starlink Gen 1,482.8847675021343,Very Low LEO,LEO-Equatorial,HIGH,43.0003,0.0001495,2024,0,<1yr,15.27634881,2026-05-27 10:58:14.869920,celestrak,2026-05-27,US,2026-05-27
67056,STARLINK-36143,PAYLOAD,Starlink Gen 1,483.00678306823556,Very Low LEO,LEO-Equatorial,HIGH,43.0071,0.0002732,2024,0,<1yr,15.27594131,2026-05-27 11:59:04.392096,celestrak,2026-05-27,US,2026-05-27
67057,STARLINK-36141,PAYLOAD,Starlink Gen 1,483.00006982539253,Very Low LEO,LEO-Equatorial,HIGH,43.0021,0.0001564,2024,0,<1yr,15.27596373,2026-05-26 20:11:57.327936,celestrak,2026-05-27,US,2026-05-27
67058,STARLINK-35767,PAYLOAD,Starlink Gen 1,483.05327018031676,Very Low LEO,LEO-Equatorial,HIGH,43.0021,0.0002604,2024,0,<1yr,15.27578606,2026-05-26 21:01:52.554144,celestrak,2026-05-27,US,2026-05-27
67059,HULIANWANG DIGUI-119,PAYLOAD,Other,1149.3005317514408,Mid LEO,LEO-Inclined,HIGH,50.003,8.73e-05,2024,0,<1yr,13.293276,2026-05-27 07:57:55.692576,celestrak,2026-05-27,PRC,2026-05-27
67060,HULIANWANG DIGUI-120,PAYLOAD,Other,1149.3009734335137,Mid LEO,LEO-Inclined,HIGH,50.0032,8.47e-05,2024,0,<1yr,13.29327483,2026-05-27 05:45:36.807840,celestrak,2026-05-27,PRC,2026-05-27
67061,HULIANWANG DIGUI-121,PAYLOAD,Other,1149.301871898102,Mid LEO,LEO-Inclined,HIGH,49.9993,8.4e-05,2024,0,<1yr,13.29327245,2026-05-27 05:57:38.710080,celestrak,2026-05-27,PRC,2026-05-27
